REF_DATE,GEO,DGUID,Age (15C),Gender (3),Statistics (2),Coordinate,Visible minority (15):Total - Visible minority[1],Symbol,Visible minority (15):Total visible minority population[2],Symbol,Visible minority (15):South Asian[3],Symbol,Visible minority (15):Chinese[4],Symbol,Visible minority (15):Black[5],Symbol,Visible minority (15):Filipino[6],Symbol,Visible minority (15):Arab[7],Symbol,Visible minority (15):Latin American[8],Symbol,Visible minority (15):Southeast Asian[9],Symbol,Visible minority (15):West Asian[10],Symbol,Visible minority (15):Korean[11],Symbol,Visible minority (15):Japanese[12],Symbol,"Visible minority (15):Visible minority, n.i.e.[13]",Symbol,Visible minority (15):Multiple visible minorities[14],Symbol,Visible minority (15):Not a visible minority[15],Symbol
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,35 to 44 years,Men+,2021 Counts,40.10.2.1,1785,,120,,0,,0,,50,,0,,15,,25,,10,,0,,10,,0,,0,,0,,1670,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,35 to 44 years,Men+,% distribution (2021),40.10.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,35 to 44 years,Women+,2021 Counts,40.10.3.1,1805,,45,,0,,0,,20,,0,,0,,10,,0,,0,,0,,0,,0,,0,,1755,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,35 to 44 years,Women+,% distribution (2021),40.10.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,45 to 54 years,Total - Gender,2021 Counts,40.11.1.1,3420,,65,,0,,0,,20,,0,,20,,0,,15,,0,,0,,0,,0,,0,,3355,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,45 to 54 years,Total - Gender,% distribution (2021),40.11.1.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,45 to 54 years,Men+,2021 Counts,40.11.2.1,1745,,35,,0,,0,,15,,0,,10,,0,,0,,0,,0,,0,,0,,0,,1715,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,45 to 54 years,Men+,% distribution (2021),40.11.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,45 to 54 years,Women+,2021 Counts,40.11.3.1,1670,,30,,0,,0,,0,,0,,0,,0,,10,,0,,0,,0,,0,,0,,1640,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,45 to 54 years,Women+,% distribution (2021),40.11.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,55 to 64 years,Total - Gender,2021 Counts,40.12.1.1,4360,,20,,0,,0,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4340,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,55 to 64 years,Total - Gender,% distribution (2021),40.12.1.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,55 to 64 years,Men+,2021 Counts,40.12.2.1,2135,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2125,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,55 to 64 years,Men+,% distribution (2021),40.12.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,55 to 64 years,Women+,2021 Counts,40.12.3.1,2230,,15,,0,,0,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2215,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,55 to 64 years,Women+,% distribution (2021),40.12.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,65 years and over,Total - Gender,2021 Counts,40.13.1.1,6605,,30,,0,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,6585,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,65 years and over,Total - Gender,% distribution (2021),40.13.1.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,65 years and over,Men+,2021 Counts,40.13.2.1,3140,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3135,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,65 years and over,Men+,% distribution (2021),40.13.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,65 years and over,Women+,2021 Counts,40.13.3.1,3465,,15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3450,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,65 years and over,Women+,% distribution (2021),40.13.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,65 to 74 years,Total - Gender,2021 Counts,40.14.1.1,4160,,15,,0,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4145,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,65 to 74 years,Total - Gender,% distribution (2021),40.14.1.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,65 to 74 years,Men+,2021 Counts,40.14.2.1,2020,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2015,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,65 to 74 years,Men+,% distribution (2021),40.14.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,65 to 74 years,Women+,2021 Counts,40.14.3.1,2135,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2125,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,65 to 74 years,Women+,% distribution (2021),40.14.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,75 years and over,Total - Gender,2021 Counts,40.15.1.1,2445,,15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,2435,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,75 years and over,Total - Gender,% distribution (2021),40.15.1.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,75 years and over,Men+,2021 Counts,40.15.2.1,1125,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1115,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,75 years and over,Men+,% distribution (2021),40.15.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,75 years and over,Women+,2021 Counts,40.15.3.1,1325,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1320,
2021,"Rivière-du-Loup (CA), Que.",2021S0504405,75 years and over,Women+,% distribution (2021),40.15.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,Total - Age,Total - Gender,2021 Counts,41.1.1.1,41285,,1030,,25,,60,,350,,70,,275,,160,,40,,10,,0,,0,,10,,25,,40260,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,Total - Age,Total - Gender,% distribution (2021),41.1.1.2,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.1,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,Total - Age,Men+,2021 Counts,41.1.2.1,20895,,560,,15,,25,,195,,60,,160,,60,,20,,0,,0,,0,,0,,15,,20340,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,Total - Age,Men+,% distribution (2021),41.1.2.2,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.1,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,Total - Age,Women+,2021 Counts,41.1.3.1,20390,,465,,10,,35,,155,,15,,110,,100,,20,,0,,0,,0,,0,,10,,19925,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,Total - Age,Women+,% distribution (2021),41.1.3.2,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.1,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,0 to 14 years,Total - Gender,2021 Counts,41.2.1.1,7295,,260,,0,,10,,130,,15,,55,,20,,10,,0,,0,,0,,0,,10,,7035,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,0 to 14 years,Total - Gender,% distribution (2021),41.2.1.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,0 to 14 years,Men+,2021 Counts,41.2.2.1,3690,,115,,0,,0,,65,,15,,20,,10,,0,,0,,0,,0,,0,,0,,3575,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,0 to 14 years,Men+,% distribution (2021),41.2.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,0 to 14 years,Women+,2021 Counts,41.2.3.1,3605,,140,,0,,10,,65,,0,,35,,10,,10,,0,,0,,0,,0,,0,,3460,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,0 to 14 years,Women+,% distribution (2021),41.2.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 years and over,Total - Gender,2021 Counts,41.3.1.1,33995,,765,,15,,45,,225,,55,,215,,145,,25,,10,,0,,0,,10,,15,,33225,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 years and over,Total - Gender,% distribution (2021),41.3.1.2,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.1,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 years and over,Men+,2021 Counts,41.3.2.1,17210,,440,,15,,25,,135,,45,,135,,55,,15,,0,,0,,0,,0,,10,,16770,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 years and over,Men+,% distribution (2021),41.3.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 years and over,Women+,2021 Counts,41.3.3.1,16785,,325,,0,,20,,85,,15,,75,,85,,15,,0,,0,,0,,0,,0,,16460,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 years and over,Women+,% distribution (2021),41.3.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 to 24 years,Total - Gender,2021 Counts,41.4.1.1,4410,,115,,0,,15,,40,,0,,20,,30,,10,,0,,0,,0,,0,,0,,4300,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 to 24 years,Total - Gender,% distribution (2021),41.4.1.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 to 24 years,Men+,2021 Counts,41.4.2.1,2275,,35,,0,,0,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2235,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 to 24 years,Men+,% distribution (2021),41.4.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 to 24 years,Women+,2021 Counts,41.4.3.1,2140,,75,,0,,10,,25,,0,,10,,25,,0,,0,,0,,0,,0,,0,,2060,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 to 24 years,Women+,% distribution (2021),41.4.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 to 19 years,Total - Gender,2021 Counts,41.5.1.1,2130,,50,,0,,0,,15,,0,,15,,10,,0,,0,,0,,0,,0,,0,,2085,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 to 19 years,Total - Gender,% distribution (2021),41.5.1.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 to 19 years,Men+,2021 Counts,41.5.2.1,1145,,15,,0,,0,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1135,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 to 19 years,Men+,% distribution (2021),41.5.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 to 19 years,Women+,2021 Counts,41.5.3.1,980,,30,,0,,0,,10,,0,,10,,10,,0,,0,,0,,0,,0,,0,,950,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,15 to 19 years,Women+,% distribution (2021),41.5.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,20 to 24 years,Total - Gender,2021 Counts,41.6.1.1,2280,,65,,0,,10,,20,,0,,0,,15,,0,,0,,0,,0,,0,,0,,2215,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,20 to 24 years,Total - Gender,% distribution (2021),41.6.1.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,20 to 24 years,Men+,2021 Counts,41.6.2.1,1125,,20,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1105,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,20 to 24 years,Men+,% distribution (2021),41.6.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,20 to 24 years,Women+,2021 Counts,41.6.3.1,1155,,45,,0,,0,,15,,0,,0,,15,,0,,0,,0,,0,,0,,0,,1110,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,20 to 24 years,Women+,% distribution (2021),41.6.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 64 years,Total - Gender,2021 Counts,41.7.1.1,22155,,625,,15,,25,,180,,50,,200,,110,,15,,0,,0,,0,,10,,15,,21525,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 64 years,Total - Gender,% distribution (2021),41.7.1.2,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.1,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 64 years,Men+,2021 Counts,41.7.2.1,11400,,400,,15,,10,,120,,45,,135,,45,,0,,0,,0,,0,,0,,10,,11005,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 64 years,Men+,% distribution (2021),41.7.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 64 years,Women+,2021 Counts,41.7.3.1,10750,,230,,0,,15,,55,,0,,70,,60,,10,,0,,0,,0,,0,,0,,10515,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 64 years,Women+,% distribution (2021),41.7.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 54 years,Total - Gender,2021 Counts,41.8.1.1,15730,,585,,10,,25,,180,,50,,190,,105,,15,,0,,0,,0,,0,,0,,15145,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 54 years,Total - Gender,% distribution (2021),41.8.1.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 54 years,Men+,2021 Counts,41.8.2.1,8175,,370,,10,,10,,120,,45,,125,,45,,0,,0,,0,,0,,0,,0,,7810,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 54 years,Men+,% distribution (2021),41.8.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 54 years,Women+,2021 Counts,41.8.3.1,7550,,215,,0,,10,,55,,0,,65,,60,,10,,0,,0,,0,,0,,0,,7335,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 54 years,Women+,% distribution (2021),41.8.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 34 years,Total - Gender,2021 Counts,41.9.1.1,5615,,245,,0,,15,,75,,25,,70,,30,,10,,0,,0,,0,,0,,0,,5375,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 34 years,Total - Gender,% distribution (2021),41.9.1.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 34 years,Men+,2021 Counts,41.9.2.1,2965,,165,,0,,0,,65,,15,,45,,20,,0,,0,,0,,0,,0,,0,,2805,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 34 years,Men+,% distribution (2021),41.9.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 34 years,Women+,2021 Counts,41.9.3.1,2655,,85,,0,,10,,10,,0,,30,,15,,0,,0,,0,,0,,0,,0,,2565,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,25 to 34 years,Women+,% distribution (2021),41.9.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,35 to 44 years,Total - Gender,2021 Counts,41.10.1.1,5275,,225,,0,,0,,80,,20,,80,,35,,0,,0,,0,,0,,0,,0,,5050,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,35 to 44 years,Total - Gender,% distribution (2021),41.10.1.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,35 to 44 years,Men+,2021 Counts,41.10.2.1,2785,,135,,0,,0,,40,,20,,55,,20,,0,,0,,0,,0,,0,,0,,2650,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,35 to 44 years,Men+,% distribution (2021),41.10.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,35 to 44 years,Women+,2021 Counts,41.10.3.1,2490,,90,,0,,0,,45,,0,,25,,20,,0,,0,,0,,0,,0,,0,,2405,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,35 to 44 years,Women+,% distribution (2021),41.10.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,45 to 54 years,Total - Gender,2021 Counts,41.11.1.1,4840,,115,,0,,0,,25,,0,,45,,30,,0,,0,,0,,0,,0,,0,,4720,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,45 to 54 years,Total - Gender,% distribution (2021),41.11.1.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,45 to 54 years,Men+,2021 Counts,41.11.2.1,2425,,70,,0,,0,,20,,0,,30,,10,,0,,0,,0,,0,,0,,0,,2355,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,45 to 54 years,Men+,% distribution (2021),41.11.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,45 to 54 years,Women+,2021 Counts,41.11.3.1,2410,,45,,0,,0,,10,,0,,15,,20,,0,,0,,0,,0,,0,,0,,2365,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,45 to 54 years,Women+,% distribution (2021),41.11.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,55 to 64 years,Total - Gender,2021 Counts,41.12.1.1,6420,,45,,0,,0,,0,,0,,10,,0,,0,,0,,0,,0,,0,,10,,6375,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,55 to 64 years,Total - Gender,% distribution (2021),41.12.1.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,55 to 64 years,Men+,2021 Counts,41.12.2.1,3225,,25,,0,,0,,0,,0,,10,,0,,0,,0,,0,,0,,0,,0,,3195,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,55 to 64 years,Men+,% distribution (2021),41.12.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,55 to 64 years,Women+,2021 Counts,41.12.3.1,3195,,20,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3180,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,55 to 64 years,Women+,% distribution (2021),41.12.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,65 years and over,Total - Gender,2021 Counts,41.13.1.1,7430,,25,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7405,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,65 years and over,Total - Gender,% distribution (2021),41.13.1.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,65 years and over,Men+,2021 Counts,41.13.2.1,3530,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3525,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,65 years and over,Men+,% distribution (2021),41.13.2.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,65 years and over,Women+,2021 Counts,41.13.3.1,3895,,15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,3880,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,65 years and over,Women+,% distribution (2021),41.13.3.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,65 to 74 years,Total - Gender,2021 Counts,41.14.1.1,4740,,25,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4715,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,65 to 74 years,Total - Gender,% distribution (2021),41.14.1.2,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
2021,"Rouyn-Noranda (CA), Que.",2021S0504485,65 to 74 years,Men+,2021 Counts,41.14.2.1,2285,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2280,
