REF_DATE,GEO,DGUID,Age (15C),Gender (3),Statistics (2),Coordinate,Visible minority (15):Total - Visible minority[1],Symbol,Visible minority (15):Total visible minority population[2],Symbol,Visible minority (15):South Asian[3],Symbol,Visible minority (15):Chinese[4],Symbol,Visible minority (15):Black[5],Symbol,Visible minority (15):Filipino[6],Symbol,Visible minority (15):Arab[7],Symbol,Visible minority (15):Latin American[8],Symbol,Visible minority (15):Southeast Asian[9],Symbol,Visible minority (15):West Asian[10],Symbol,Visible minority (15):Korean[11],Symbol,Visible minority (15):Japanese[12],Symbol,"Visible minority (15):Visible minority, n.i.e.[13]",Symbol,Visible minority (15):Multiple visible minorities[14],Symbol,Visible minority (15):Not a visible minority[15],Symbol
2021,Canada,2021A000011124,15 to 19 years,Total - Gender,% distribution (2021),1.5.1.2,5.5,,1.7,,0.4,,0.2,,0.3,,0.2,,0.1,,0.1,,0.1,,0.1,,0.0,,0.0,,0.0,,0.1,,3.8,
2021,Canada,2021A000011124,15 to 19 years,Men+,2021 Counts,1.5.2.1,1036235,,322500,,82600,,45290,,59800,,35930,,28205,,16590,,13850,,10830,,7300,,3175,,5275,,13645,,713735,
2021,Canada,2021A000011124,15 to 19 years,Men+,% distribution (2021),1.5.2.2,2.9,,0.9,,0.2,,0.1,,0.2,,0.1,,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,
2021,Canada,2021A000011124,15 to 19 years,Women+,2021 Counts,1.5.3.1,966960,,305680,,74780,,45225,,58895,,32920,,25505,,16490,,12765,,9810,,6855,,3240,,5305,,13900,,661285,
2021,Canada,2021A000011124,15 to 19 years,Women+,% distribution (2021),1.5.3.2,2.7,,0.8,,0.2,,0.1,,0.2,,0.1,,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.8,
2021,Canada,2021A000011124,20 to 24 years,Total - Gender,2021 Counts,1.6.1.1,2177855,,787775,,254065,,124950,,125480,,74660,,51805,,39725,,33445,,23295,,14800,,5985,,12105,,27455,,1390085,
2021,Canada,2021A000011124,20 to 24 years,Total - Gender,% distribution (2021),1.6.1.2,6.0,,2.2,,0.7,,0.3,,0.3,,0.2,,0.1,,0.1,,0.1,,0.1,,0.0,,0.0,,0.0,,0.1,,3.8,
2021,Canada,2021A000011124,20 to 24 years,Men+,2021 Counts,1.6.2.1,1124910,,412470,,142230,,62390,,62485,,38305,,27805,,20465,,16735,,11845,,7515,,2890,,6185,,13625,,712440,
2021,Canada,2021A000011124,20 to 24 years,Men+,% distribution (2021),1.6.2.2,3.1,,1.1,,0.4,,0.2,,0.2,,0.1,,0.1,,0.1,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.0,
2021,Canada,2021A000011124,20 to 24 years,Women+,2021 Counts,1.6.3.1,1052945,,375305,,111835,,62555,,63000,,36360,,24000,,19265,,16710,,11445,,7285,,3095,,5920,,13830,,677645,
