REF_DATE,GEO,DGUID,Age (13B),Knowledge of official languages (5),Coordinate,Statistics (6A):2021 Counts[1],Symbol,Statistics (6A):% distribution (2021)[2],Symbol,Statistics (6A):% change (2016 to 2021)[3],Symbol,Statistics (6A):% change (2011 to 2021)[4],Symbol,Statistics (6A):2016 Counts[5],Symbol,Statistics (6A):2011 Counts[6],Symbol
2021,Canada,2021A000011124,45 to 64 years,French only,1.10.3,1123345,,11.4,,-7.1,,-10.8,,1209630,,1260060,
2021,Canada,2021A000011124,45 to 64 years,English and French,1.10.4,1680270,,17.1,,1.0,,2.1,,1663640,,1645610,
2021,Canada,2021A000011124,45 to 64 years,Neither English nor French,1.10.5,186640,,1.9,,1.7,,9.9,,183500,,169765,
2021,Canada,2021A000011124,65 years and over,Total - Knowledge of official languages,1.11.1,6762200,,100.0,,19.3,,43.8,,5668100,,4703090,
2021,Canada,2021A000011124,65 years and over,English only,1.11.2,4496925,,66.5,,20.1,,44.9,,3745110,,3102670,
2021,Canada,2021A000011124,65 years and over,French only,1.11.3,1035780,,15.3,,18.8,,40.7,,871905,,736300,
2021,Canada,2021A000011124,65 years and over,English and French,1.11.4,926350,,13.7,,17.1,,43.9,,791015,,643875,
2021,Canada,2021A000011124,65 years and over,Neither English nor French,1.11.5,303140,,4.5,,16.6,,37.6,,260065,,220245,
2021,Canada,2021A000011124,65 to 74 years,Total - Knowledge of official languages,1.12.1,4020675,,100.0,,19.8,,52.1,,3355975,,2643545,
2021,Canada,2021A000011124,65 to 74 years,English only,1.12.2,2706295,,67.3,,21.8,,56.1,,2221690,,1734080,
2021,Canada,2021A000011124,65 to 74 years,French only,1.12.3,592395,,14.7,,17.9,,45.0,,502300,,408465,
2021,Canada,2021A000011124,65 to 74 years,English and French,1.12.4,585040,,14.6,,12.8,,44.9,,518735,,403690,
2021,Canada,2021A000011124,65 to 74 years,Neither English nor French,1.12.5,136940,,3.4,,20.9,,40.7,,113255,,97315,
2021,Canada,2021A000011124,75 years and over,Total - Knowledge of official languages,1.13.1,2741530,,100.0,,18.6,,33.1,,2312125,,2059540,
2021,Canada,2021A000011124,75 years and over,English only,1.13.2,1790635,,65.3,,17.5,,30.8,,1523420,,1368590,
2021,Canada,2021A000011124,75 years and over,French only,1.13.3,443385,,16.2,,20.0,,35.2,,369605,,327835,
2021,Canada,2021A000011124,75 years and over,English and French,1.13.4,341310,,12.4,,25.4,,42.1,,272280,,240180,
2021,Canada,2021A000011124,75 years and over,Neither English nor French,1.13.5,166200,,6.1,,13.2,,35.2,,146810,,122935,
2021,Newfoundland and Labrador,2021A000210,Total - Age,Total - Knowledge of official languages,2.1.1,504810,,100.0,,-2.1,,-1.0,,515680,,509950,
2021,Newfoundland and Labrador,2021A000210,Total - Age,English only,2.1.2,477900,,94.7,,-2.2,,-1.6,,488800,,485740,
2021,Newfoundland and Labrador,2021A000210,Total - Age,French only,2.1.3,125,,0.0,,8.7,,-3.8,,115,,130,
2021,Newfoundland and Labrador,2021A000210,Total - Age,English and French,2.1.4,25945,,5.1,,0.0,,10.6,,25945,,23455,
2021,Newfoundland and Labrador,2021A000210,Total - Age,Neither English nor French,2.1.5,835,,0.2,,2.5,,32.5,,815,,630,
2021,Newfoundland and Labrador,2021A000210,0 to 14 years,Total - Knowledge of official languages,2.2.1,68160,,100.0,,-8.3,,-11.0,,74360,,76565,
2021,Newfoundland and Labrador,2021A000210,0 to 14 years,English only,2.2.2,62590,,91.8,,-8.2,,-11.9,,68170,,71005,
2021,Newfoundland and Labrador,2021A000210,0 to 14 years,French only,2.2.3,45,,0.1,,-10.0,,12.5,,50,,40,
2021,Newfoundland and Labrador,2021A000210,0 to 14 years,English and French,2.2.4,5235,,7.7,,-9.6,,-1.6,,5790,,5320,
2021,Newfoundland and Labrador,2021A000210,0 to 14 years,Neither English nor French,2.2.5,295,,0.4,,-15.7,,40.5,,350,,210,
2021,Newfoundland and Labrador,2021A000210,0 to 4 years,Total - Knowledge of official languages,2.3.1,18985,,100.0,,-15.0,,-22.4,,22345,,24475,
2021,Newfoundland and Labrador,2021A000210,0 to 4 years,English only,2.3.2,18585,,97.9,,-15.1,,-23.0,,21900,,24130,
2021,Newfoundland and Labrador,2021A000210,0 to 4 years,French only,2.3.3,20,,0.1,,-33.3,,-20.0,,30,,25,
2021,Newfoundland and Labrador,2021A000210,0 to 4 years,English and French,2.3.4,190,,1.0,,-2.6,,22.6,,195,,155,
2021,Newfoundland and Labrador,2021A000210,0 to 4 years,Neither English nor French,2.3.5,190,,1.0,,-15.6,,11.8,,225,,170,
2021,Newfoundland and Labrador,2021A000210,5 to 9 years,Total - Knowledge of official languages,2.4.1,23030,,100.0,,-11.5,,-8.2,,26020,,25090,
2021,Newfoundland and Labrador,2021A000210,5 to 9 years,English only,2.4.2,21310,,92.5,,-11.4,,-9.1,,24055,,23435,
2021,Newfoundland and Labrador,2021A000210,5 to 9 years,French only,2.4.3,10,,0.0,,-33.3,,100.0,,15,,5,
2021,Newfoundland and Labrador,2021A000210,5 to 9 years,English and French,2.4.4,1655,,7.2,,-11.0,,1.5,,1860,,1630,
2021,Newfoundland and Labrador,2021A000210,5 to 9 years,Neither English nor French,2.4.5,50,,0.2,,-44.4,,150.0,,90,,20,
2021,Newfoundland and Labrador,2021A000210,10 to 14 years,Total - Knowledge of official languages,2.5.1,26150,,100.0,,0.6,,-3.2,,25995,,27005,
2021,Newfoundland and Labrador,2021A000210,10 to 14 years,English only,2.5.2,22700,,86.8,,2.2,,-3.1,,22215,,23435,
2021,Newfoundland and Labrador,2021A000210,10 to 14 years,French only,2.5.3,15,,0.1,,200.0,,200.0,,5,,5,
2021,Newfoundland and Labrador,2021A000210,10 to 14 years,English and French,2.5.4,3385,,12.9,,-9.2,,-4.4,,3730,,3540,
2021,Newfoundland and Labrador,2021A000210,10 to 14 years,Neither English nor French,2.5.5,55,,0.2,,22.2,,175.0,,45,,20,
2021,Newfoundland and Labrador,2021A000210,15 to 24 years,Total - Knowledge of official languages,2.6.1,51595,,100.0,,-5.9,,-13.4,,54845,,59545,
2021,Newfoundland and Labrador,2021A000210,15 to 24 years,English only,2.6.2,44350,,86.0,,-6.0,,-15.0,,47180,,52175,
2021,Newfoundland and Labrador,2021A000210,15 to 24 years,French only,2.6.3,5,,0.0,,-50.0,,0.0,,10,,5,
2021,Newfoundland and Labrador,2021A000210,15 to 24 years,English and French,2.6.4,7180,,13.9,,-5.4,,-1.9,,7590,,7320,
2021,Newfoundland and Labrador,2021A000210,15 to 24 years,Neither English nor French,2.6.5,70,,0.1,,0.0,,55.6,,70,,45,
2021,Newfoundland and Labrador,2021A000210,15 to 19 years,Total - Knowledge of official languages,2.7.1,25640,,100.0,,-5.8,,-13.2,,27205,,29535,
2021,Newfoundland and Labrador,2021A000210,15 to 19 years,English only,2.7.2,21605,,84.3,,-5.2,,-14.8,,22780,,25370,
2021,Newfoundland and Labrador,2021A000210,15 to 19 years,French only,2.7.3,0,,0.0,,-100.0,,0,...,5,,0,
2021,Newfoundland and Labrador,2021A000210,15 to 19 years,English and French,2.7.4,4000,,15.6,,-8.8,,-3.5,,4385,,4145,
2021,Newfoundland and Labrador,2021A000210,15 to 19 years,Neither English nor French,2.7.5,40,,0.2,,14.3,,100.0,,35,,20,
2021,Newfoundland and Labrador,2021A000210,20 to 24 years,Total - Knowledge of official languages,2.8.1,25960,,100.0,,-6.1,,-13.5,,27640,,30010,
2021,Newfoundland and Labrador,2021A000210,20 to 24 years,English only,2.8.2,22745,,87.6,,-6.8,,-15.1,,24400,,26805,
2021,Newfoundland and Labrador,2021A000210,20 to 24 years,French only,2.8.3,0,,0.0,,-100.0,,-100.0,,5,,5,
2021,Newfoundland and Labrador,2021A000210,20 to 24 years,English and French,2.8.4,3180,,12.2,,-0.8,,0.2,,3205,,3175,
2021,Newfoundland and Labrador,2021A000210,20 to 24 years,Neither English nor French,2.8.5,35,,0.1,,-12.5,,40.0,,40,,25,
2021,Newfoundland and Labrador,2021A000210,25 to 44 years,Total - Knowledge of official languages,2.9.1,112060,,100.0,,-8.6,,-13.0,,122665,,128805,
2021,Newfoundland and Labrador,2021A000210,25 to 44 years,English only,2.9.2,104105,,92.9,,-9.5,,-14.9,,115040,,122345,
2021,Newfoundland and Labrador,2021A000210,25 to 44 years,French only,2.9.3,25,,0.0,,0.0,,0.0,,25,,25,
2021,Newfoundland and Labrador,2021A000210,25 to 44 years,English and French,2.9.4,7730,,6.9,,4.0,,22.7,,7435,,6300,
