"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions",Universe,"Variable List"
"Broad age groups and sex: Canada, provinces and territories","98100034",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810003401",,"CURRENT - a cube available to the public and that is current","Occasional","2021-01-01","2021-01-01","3","Total population, including institutional residents, 2021 Census — 100% data","Broad age groups (5), Sex (3)"

"Dimension ID","Dimension name","Dimension Notes","Dimension Correction Notes","Dimension Definitions"
1,4,10,"PR_CODE","Province or territory geocode","Province or territory geocode","12"
1,4,14,"DQF_NOTE","Data quality note","Data quality note","..."
1,4,15,"GEO_TYPE_DESC","Geographic area type","Geographic area type","Province"
1,4,12,"GEO_NAME","Geography name","Geography name","Nova Scotia"
1,4,13,"DQF_CODE","Data quality flag","Data quality flag","00000"
1,4,16,"DGUID","Dissemination Geography Unique Identifier (DGUID)","Dissemination Geography Unique Identifier (DGUID)","2021A000212"
1,5,17,"TNR_SHORT_FORM","Short-form total non-response rate","Short-form total non-response rate","3.2"
1,5,3,"ALT_GEO_CODE","Alternative geographic code","Alternative geographic code","13"
1,5,4,"GEO_LEVEL_DESC","Geographic level","Geographic level","Province or territory"
1,5,5,"GEO_TYPE_ABBR","Geographic area type abbreviation","Geographic area type abbreviation","PR"
1,5,9,"PROV_ABBR","Province or territory abbreviation","Province or territory abbreviation","N.B."
1,5,10,"PR_CODE","Province or territory geocode","Province or territory geocode","13"
1,5,14,"DQF_NOTE","Data quality note","Data quality note","..."
1,5,15,"GEO_TYPE_DESC","Geographic area type","Geographic area type","Province"
1,5,12,"GEO_NAME","Geography name","Geography name","New Brunswick"
1,5,13,"DQF_CODE","Data quality flag","Data quality flag","00000"
1,5,16,"DGUID","Dissemination Geography Unique Identifier (DGUID)","Dissemination Geography Unique Identifier (DGUID)","2021A000213"
1,6,17,"TNR_SHORT_FORM","Short-form total non-response rate","Short-form total non-response rate","2.9"
1,6,3,"ALT_GEO_CODE","Alternative geographic code","Alternative geographic code","24"
1,6,4,"GEO_LEVEL_DESC","Geographic level","Geographic level","Province or territory"
1,6,5,"GEO_TYPE_ABBR","Geographic area type abbreviation","Geographic area type abbreviation","PR"
1,6,9,"PROV_ABBR","Province or territory abbreviation","Province or territory abbreviation","Que."
1,6,10,"PR_CODE","Province or territory geocode","Province or territory geocode","24"
1,6,14,"DQF_NOTE","Data quality note","Data quality note","Excludes census data for one or more incompletely enumerated reserves or settlements."
1,6,15,"GEO_TYPE_DESC","Geographic area type","Geographic area type","Province"
1,6,12,"GEO_NAME","Geography name","Geography name","Quebec"
1,6,13,"DQF_CODE","Data quality flag","Data quality flag","20000"
